country_code,year,country_cn,RESEARCHERS_PER_MILLION,rd_expenditure_pct_gdp,researchers_per_million,rd_expenditure_pct_gdp_wb,researchers_per_million_wb,higher_edu_enrollment_rate,bachelor_degree_pct,master_degree_pct,phd_degree_pct,internet_users_pct,fixed_broadband_per_100,mobile_subscriptions_per_100,patent_applications_resident,patent_applications_nonresident,ict_service_exports_pct,high_tech_exports_pct,high_tech_exports_usd,govt_edu_expenditure_pct_gdp,higher_edu_expenditure_pct,secure_internet_servers_per_million,labor_force_higher_edu_pct,patent_applications_resident_log,high_tech_exports_usd_log,rd_expenditure_pct_gdp_YoY_Growth,researchers_per_million_YoY_Growth,higher_edu_enrollment_rate_YoY_Growth,rd_expenditure_pct_gdp_MA3,researchers_per_million_MA3,rd_expenditure_pct_gdp_lag1,rd_expenditure_pct_gdp_lag2,rd_expenditure_pct_gdp_lag3,researchers_per_million_lag1,researchers_per_million_lag2,researchers_per_million_lag3,higher_edu_enrollment_rate_lag1,higher_edu_enrollment_rate_lag2,higher_edu_enrollment_rate_lag3,patent_applications_resident_lag1,patent_applications_resident_lag2,patent_applications_resident_lag3,Innovation_Foundation_Index,patent_intensity_ratio
ARE,2016,阿联酋,2509.55341,0.9318,2509.55341,0.9318,2509.55341,,31.6900005340576,15.6899995803833,2.53999996185303,90.6,14.3683,220.412,57.0,1642.0,,2.61902840521391,484214896.0,,,983.425470014588,,4.060443010546419,19.99803936820727,,,,,,,,,,,,,,,,,,0.3812699500983761,0.034713763702801465
ARE,2017,阿联酋,2506.1933135294116,1.2172711764705881,2506.1933135294116,1.2172711764705881,2506.1933135294116,,46.560001373291,8.3100004196167,0.680000007152557,94.8199,29.9083,214.701,63.0,1733.0,,2.84060044002548,523668921.0,,,1321.88036180403,81.397,4.1588830833596715,20.07637021435346,30.636528919359108,-0.13389220796015122,,1.074535588235294,2507.873361764706,0.9318,,,2509.55341,,,,,,57.0,,,0.4168326484335198,0.0363531448355453
ARE,2018,阿联酋,2464.56964,1.26389,2464.56964,1.26389,2464.56964,53.2113281680102,47.2900009155273,10.0699996948242,0.910000026226044,98.45,32.3591,214.842,57.0,1723.0,,2.90326432456259,643634927.0,,,1529.09566701663,80.239,4.060443010546419,20.282642241342707,3.829781270643462,-1.6608325185735073,,1.137653725490196,2493.438787843137,1.2172711764705881,0.9318,,2506.1933135294116,2509.55341,,,,,63.0,57.0,,0.40497183285280014,0.0330818340104469
ARE,2019,阿联酋,2476.63113,1.31065,2476.63113,1.31065,2476.63113,53.8814655213653,46.6300010681152,10.8000001907349,0.790000021457672,99.15,32.4803,209.033,55.0,1843.0,,2.99865577867219,670459816.0,3.86020994186401,,1977.81338448843,79.4996,4.02535169073515,20.323474328987082,3.6996890552184247,0.48939538182415365,1.2593885107306413,1.2639370588235295,2482.464694509804,1.26389,1.2172711764705881,0.9318,2464.56964,2506.1933135294116,2509.55341,53.2113281680102,,,57.0,63.0,57.0,0.4117467205045719,0.02984264785675529
ARE,2020,阿联酋,2581.47405,1.48831,2581.47405,1.48831,2581.47405,54.9746998074699,45.97653325911492,10.135807006589845,0.8018548488616939,100.0,34.3453,194.468,39.0,1869.0,,5.37704492826553,1202292537.0,3.98417997360229,,1478.66650469874,78.96965,3.6888794541139363,20.907496019488217,13.555106244992942,4.233287659595852,2.028961676387775,1.3542833333333333,2507.5582733333335,1.31065,1.26389,1.2172711764705881,2476.63113,2464.56964,2506.1933135294116,53.8814655213653,53.2113281680102,,55.0,57.0,63.0,0.42924799954128345,0.02086677367576244
ARE,2021,阿联酋,2606.78477,1.49469,2606.78477,1.49469,2606.78477,56.4520334436146,47.1800003051758,10.0100002288818,0.879999995231628,100.0,36.5005,186.301,69.0,2354.0,,8.95796265725262,2904973069.0,3.89403009414673,,2580.22013645319,78.44,4.248495242049359,21.789689956983565,0.42867413374902963,0.9804754767920532,2.68729732280224,1.4312166666666668,2554.9633166666667,1.48831,1.31065,1.26389,2581.47405,2476.63113,2464.56964,54.9746998074699,53.8814655213653,53.2113281680102,39.0,55.0,57.0,0.4347587525676174,0.02931180968564146
ARE,2022,阿联酋,,,,,,60.4188226013954,51.0699996948242,11.4799995422363,0.829999983310699,100.0,36.8486,195.625,,,,9.2877602243891,3214235330.0,,,1626.60420961755,77.87,,21.89085532217862,0.0,0.0,7.02683130403603,1.4915000000000003,2594.12941,1.49469,1.48831,1.31065,2606.78477,2581.47405,2476.63113,56.4520334436146,54.9746998074699,53.8814655213653,69.0,39.0,55.0,0.6888164855508003,
ARE,2023,阿联酋,,,,,,61.3456114422447,52.7200012207031,12.7799997329712,1.0,100.0,37.0968,199.424,,,4.8744939271255,8.96029397394575,3183641981.0,,,2119.66117852284,77.893,,21.881291655767182,0.0,0.0,1.5339405849790655,,,,1.49469,1.48831,,2606.78477,2581.47405,60.4188226013954,56.4520334436146,54.9746998074699,,69.0,39.0,0.6945287150861548,
ARE,2024,阿联酋,2596.6071021960784,1.6518678431372553,2596.6071021960784,1.6518678431372553,2596.6071021960784,63.7384451086316,52.6599998474121,13.3599996566772,0.730000019073486,100.0,42.88608928571429,186.00339285714284,55.266666666666666,2269.4666666666667,4.58026730740353,10.698458951394702,3728283155.357143,3.9466268221537293,,4192.27408432243,76.85695000000001,4.030102293493747,22.039213684843862,10.515748625952881,-0.390429924290292,3.900578395309817,,,,,1.49469,,,2606.78477,61.3456114422447,60.4188226013954,56.4520334436146,,,69.0,0.46496544000226825,0.024352270724399272
ARE,2025,阿联酋,2617.2945450364145,1.7568485994397762,2617.2945450364145,1.7568485994397762,2617.2945450364145,65.13945307861147,56.0698926013003,11.913978281841455,0.4888172149658193,102.87084722222222,45.363353571428576,181.92620238095236,54.86666666666666,2386.266666666667,,11.855210642473327,4200481593.2976193,3.9635368982950894,,3314.3623950393585,76.27446428571429,4.022967899379873,22.15846502097113,6.355275740651245,0.796710554432356,2.1980579657882693,1.7043582212885158,2606.9508236162465,1.6518678431372553,,,2596.6071021960784,,,63.7384451086316,61.3456114422447,60.4188226013954,55.266666666666666,,,0.4834576148931521,0.022992680337486724
CAN,2016,加拿大,4400.49278,1.72903,4400.49278,1.72903,4400.49278,69.2459411621094,25.75,7.09999990463257,0.949999988079071,91.16,36.8233,84.5919,4078.0,30667.0,8.20562037854801,14.0996116936098,26203266317.0,4.81642007827759,,10221.068747765,75.468,8.313607139317558,23.98914990856893,,,,,,,,,,,,,,,,,,0.5053961555902784,0.13297681546939707
CAN,2017,加拿大,4429.05796,1.68702,4429.05796,1.68702,4429.05796,70.2687072753906,27.9425660305866,9.15787909108455,,92.7014,37.8277,86.1024,4053.0,30969.0,8.49564421892629,14.3488055729531,26938349605.0,4.95996999740601,,26565.3853494623,75.185,8.307459327011946,24.016816744210917,-2.429686008918297,0.6491359360894178,1.4770051444413568,1.7080250000000001,4414.775369999999,1.72903,,,4400.49278,,,69.2459411621094,,,4078.0,,,0.5115840898085102,0.13087280829216313
CAN,2018,加拿大,4715.91861,1.7372,4715.91861,1.7372,4715.91861,69.3507232666016,28.520011309014,9.35442247861107,,94.64,38.7334,89.0495,4349.0,31812.0,10.0062633713473,15.4222842964733,30480481649.0,4.8889799118042,,30940.812923392,74.882,8.37793112408273,24.14035236980536,2.9744757027184043,6.47678699603198,-1.3063909162172482,1.7177499999999999,4515.1564499999995,1.68702,1.72903,,4429.05796,4400.49278,,70.2687072753906,69.2459411621094,,4053.0,4078.0,,0.5240968259495744,0.13670941782974977
CAN,2019,加拿大,4850.93689,1.75578,4850.93689,1.75578,4850.93689,73.1128768920898,29.7712155335756,9.8509989101133,,91.9129,40.0768,90.9589,4238.0,32250.0,11.6770691777618,17.1309209127166,36788635481.0,4.77293014526367,,35872.9396271701,74.925,8.352082671352637,24.328454816003156,1.0695371862767589,2.8630324474577806,5.424822479537128,1.7266666666666666,4665.304486666667,1.7372,1.68702,1.72903,4715.91861,4429.05796,4400.49278,69.3507232666016,70.2687072753906,69.2459411621094,4349.0,4053.0,4078.0,0.5321204255149062,0.1314108527131783
