Indicator,Indicator_Name,Category,Base_Weight,Score_Low,Score_Base,Score_High,Impact_Low,Impact_High,Total_Range
A3_Connectivity_norm,A3 Connectivity,A,0.0111666349040693,0.5874869039739076,0.5875755171610951,0.587683726362971,-8.86131871875584e-05,0.00010820920187581962,0.000196822389063378
D3_OpenSource_Impact_log,D3 OpenSource Impact,D,0.0602933607900494,0.5874723474215999,0.5875755171610951,0.5877011172591878,-0.00010316973949520136,0.00012560009809270412,0.00022876983758790548
E2_Capital_Flow_log,E2 Capital Flow,E,0.0810276068803023,0.5877719998033797,0.5875755171610951,0.5873367863900467,0.0001964826422845567,-0.00023873077104841212,0.0004352134133329688
B3_STEM_Supply_norm,B3 STEM Supply,B,0.0397791920034449,0.5871005560217651,0.5875755171610951,0.5881439758792251,-0.00047496113932998796,0.0005684587181299383,0.0010434198574599263
D1_GitHub_Activity_log,D1 GitHub Activity,D,0.0946403183769473,0.5883158341319975,0.5875755171610951,0.5866797629955693,0.0007403169709023771,-0.0008957541655257861,0.0016360711364281633
B1_Talent_Stock_log,B1 Talent Stock,B,0.0744025167396719,0.5886031327874951,0.5875755171610951,0.5863526911899286,0.0010276156263999692,-0.001222825971166519,0.002250441597566488
F2_IP_Protection_log,F2 IP Protection,F,0.0472892239129402,0.5863798596289101,0.5875755171610951,0.5890196596723709,-0.0011956575321849794,0.001444142511275781,0.0026398000434607605
E1_Vertical_VC_log,E1 Vertical VC,E,0.089207797593332,0.5860924016232973,0.5875755171610951,0.5893291770065563,-0.0014831155377977856,0.001753659845461164,0.0032367753832589496
A2_Energy_IDC_log,A2 Energy/IDC,A,0.0442372148170582,0.5859318698882082,0.5875755171610951,0.5895519937904132,-0.0016436472728869056,0.0019764766293181024,0.003620123902205008
C1_Research_Qty_log,C1 Research Quantity,C,0.0958574978289655,0.5855897035273284,0.5875755171610951,0.589955505435847,-0.0019858136337667087,0.002379988274751832,0.004365801908518541
C2_High_Impact_Res_log,C2 High Impact Research,C,0.0800825156810974,0.5846492257773106,0.5875755171610951,0.5910507297861206,-0.0029262913837845295,0.003475212625025481,0.006401504008810011
F1_Gov_RD_Exp_norm,F1 Gov R&D,F,0.0647562459186378,0.5921760902574854,0.5875755171610951,0.5823066302593803,0.004600573096390281,-0.005268886901714787,0.009869459998105068
E3_Ind_Adoption_norm,E3 Industry Adoption,E,0.1191276149961136,0.5584899173353646,0.5875755171610951,0.6134958345094387,-0.029085599825730557,0.025920317348343547,0.055005917174074104
A1_Hardware_Compute_log,A1 Hardware Compute,A,0.0981322595573696,0.6193387653773712,0.5875755171610951,0.5569601936242587,0.031763248216276074,-0.03061532353683638,0.062378571753112455
