Year,Infrastructure,Talent,Research,OpenSource,Industry,Governance,Total
2026,312.8687312737969,376.2826901309978,58.46539474057302,30.369063109844834,10.368368755906653,16.483845327369792,804.8380933384891
2027,316.36380455531037,376.26339403667833,58.8284303501725,29.46278350570965,10.030151415401624,16.397559813328233,807.3461236766008
2028,322.19826059297736,376.23677062724494,59.17917705584322,28.589808703979717,9.641426830359412,16.31556401410765,812.1610078245122
2029,81.60002906425314,186.28184075080878,306.7051789985535,227.45578779153476,58.97060644600919,16.236258449639973,877.2497015007993
2030,97.85902348687549,186.08090547825427,306.7053940544682,226.6016412986903,58.45204797679691,16.115539807501104,891.8145521025864
2031,124.89090766925831,185.81783034916458,306.70539404175054,225.7520773016025,57.92728241119704,16.028086844309666,917.1215786172827
2032,169.86055783621237,107.67192363513655,306.70517899436373,224.8998058882756,57.37777186213303,15.959075125919048,882.4743133420404
2033,193.95268021948888,57.68558320704141,109.5139405337648,74.22811622289898,406.67178983655515,115.85986746906818,957.9119774888173
2034,316.04270332168613,57.68558329283924,109.33903898744778,73.421387812894,406.6782415869637,115.81951072851865,1078.9864657303494
2035,518.4991182185591,57.685509779294854,798.8007249654262,72.64163935039605,406.6781677642272,115.79102630061632,1970.0961863785196
