Year,Infrastructure,Talent,Research,OpenSource,Industry,Governance
2025,0.45,0.35,0.55,0.25,0.5,0.65
2026,0.6050791848201366,0.3698557520747754,0.7205878565826139,0.26516387595282,0.5201112597123971,0.653296769065474
2027,0.740806585267886,0.38598530544796933,0.8093833696683829,0.28075714735931506,0.5396707662640484,0.6565762810281396
2028,0.87056194486019,0.4028461516825683,0.8938194839990793,0.296810918966164,0.5585730198952081,0.6598393938309611
2029,0.6839814380164062,0.4204649225423969,2.0972324556254143,0.356263036366634,0.6691631887435412,0.6630866455208891
2030,0.5947763647876728,0.4802479603823216,2.131527932285891,0.41868555097796123,0.7793708421930107,0.6663097534823894
2031,0.5929502302912919,0.5484231791262261,2.301768755558645,0.4843456006761077,0.889172137201695,0.6695153708512513
2032,0.6901943000002679,0.626242170707919,2.648967208994523,0.5535343256871921,0.9985103954303635,0.6727071858764352
2033,0.8302448623168648,0.6855760363928807,1.5529654002864963,0.592461804412419,1.5638166854299809,0.6958791593702488
2034,1.2164587942279537,0.7502236602276173,1.9233578066671833,0.6332403715645766,2.147945964407631,0.7190430615159525
2035,2.0000022561427575,0.8227084911303403,10.889660977735073,0.6760107645716487,2.750888218255783,0.7422012667760758
