Year,Infrastructure,Talent,Research,OpenSource,Industry,Governance
2026,38.87349938619448,46.75259449638716,7.264242985574534,3.7733133360864146,1.2882552207361846,2.0480945750212167
2027,39.18564730510014,46.60496694072175,7.2866430673218225,3.6493373339724586,1.2423607572084423,2.0310445956753758
2028,39.671722415735125,46.32539201002128,7.286631158809629,3.520214394503074,1.1871324451028908,2.0089075758279984
2029,9.301801861505538,21.234756812355442,34.962129764631676,25.928283292932818,6.722214478400192,1.8508137901743338
2030,10.973023848529738,20.86542600583727,34.391162751422286,25.409054019632553,6.554282820232912,1.8070505543452173
2031,13.617704629472646,20.260981169946593,33.442173992259704,24.61528357472106,6.31620537143312,1.7476512621668703
2032,19.248215530821426,12.201139682737,34.755139538604006,25.48513905595189,6.50191977201424,1.8084464198714223
2033,20.24744285251962,6.022012936748652,11.432568242946232,7.748949586943183,42.4539831835752,12.095043197267124
2034,29.290701353493038,5.346274964977689,10.133494947356718,6.80466253700376,37.690763925540935,10.734102271627863
2035,26.31846717959884,2.9280555019668255,40.546280455158985,3.687212830147534,20.64255393092219,5.877430102205634
