A1_Hardware_Compute_log,A2_Energy_IDC_log,A3_Connectivity_norm,B1_Talent_Stock_log,B3_STEM_Supply_norm,C1_Research_Qty_log,C2_High_Impact_Res_log,D1_GitHub_Activity_log,D3_OpenSource_Impact_log,E1_Vertical_VC_log,E2_Capital_Flow_log,E3_Ind_Adoption_norm,F1_Gov_RD_Exp_norm,F2_IP_Protection_log,Country,Country_CN,Total_Score
0.09813225955736961,0.04423721481705823,0.008694559302480562,0.05787127379659242,0.03977919200344494,0.07416295945986752,0.06419008702640847,0.07100492579941496,0.06029336079004948,0.08920779759333204,0.08102760688030232,0.11912761499611363,0.04285774508951849,0.03907742830801648,USA,United States,0.8896640254199691
0.00900133477286955,0.043479495034044524,0.010924801132545162,0.037254773340698,0.025375786972842016,0.09585749782896553,0.08008251568109741,0.03816295948277457,0.0389783095535306,0.061553726523842035,0.04149890364999252,0.09485240190955532,0.027065291743481337,0.047289223912940236,CHN,China,0.6513770215391789
0.02138970991904603,0.02411167666838639,0.009213879424577272,0.0,0.014932834424522552,0.041354015107022225,0.035062355756020805,0.04719875613367096,0.014453296175164762,0.05666788735946121,0.044221065866569265,0.015477966573028173,0.034408431373088584,0.024343376876511513,GBR,United Kingdom,0.3828352516570698
0.053597430716016685,0.035518900480053704,0.010427912890592498,0.06137267073400306,0.015410858376999086,0.042574655695069026,0.0256442624985672,0.03600752081084154,0.016943078450984174,0.03245513034301096,0.014082504182713151,0.024756888922564193,0.03419439368285476,0.03024964207402793,DEU,Germany,0.43323584985829794
0.018742950053424235,0.027377767367849574,0.011166634904069342,0.058950780531130294,0.004998677589909143,0.03017978859072053,0.009122904970186385,0.030514786608862116,0.014879611497301616,0.06075135091001573,0.010657023565261265,0.011391128457049367,0.021213703745460482,0.025202393928415282,FRA,France,0.3351495027196554
0.004494129005332171,0.02365473027429844,0.009736148917870679,0.0606918784712307,0.010326692211037531,0.030808379918172975,0.02103899627410791,0.038246192284413845,0.0007079321164752564,0.027749543506041262,0.023298479244053233,0.004912522063014655,0.01529172184000293,0.02074799716512088,CAN,Canada,0.2917053432911725
0.05416139212056117,0.025522169164437565,0.008669719608602007,0.060007820431847644,0.0036676975842834304,0.04246423054610934,0.017111708361236,0.022499942213006826,0.005299764073493975,0.014157446465272757,0.0,0.01001076532424648,0.03702590634059287,0.03817379338427915,JPN,Japan,0.33877235561796926
0.017998733988270593,0.015382407294999522,0.010497124598407433,0.07440251673967198,0.014973100147732498,0.04365354020059369,0.03407677371587298,0.02027654456688619,0.0,0.042458532142103114,0.008888066413952192,0.01962113935287553,0.06475624591863786,0.037891914385836035,KOR,South Korea,0.4048766394658396
0.002722723982526361,0.0,0.009879306879550867,0.041804138287822604,0.002949059871900311,0.0,0.0,0.0,0.0003946177498270688,0.0,0.0037638752317003376,0.0,0.014760944450765754,0.0,ARE,UAE,0.07627466645409331
0.0,0.02383147474180614,0.0,0.0,0.0,0.07035315106954425,0.040936327951874484,0.09464031837694731,0.03520657635172521,0.021543628466612348,0.008354731084486006,0.005390702190292339,0.0,0.029333696000335124,IND,India,0.3295906062336232
