Indicator,R,C,Centrality,Causality,Weight
A1_Hardware_Compute_log,1.9313574276579957,1.1410771567141005,3.072434584372096,0.7902802709438952,0.09813225955736961
A2_Energy_IDC_log,1.051017494942917,0.3340107244548938,1.3850282193978107,0.7170067704880232,0.04423721481705823
A3_Connectivity_norm,0.3496175001479693,0.0,0.3496175001479693,0.3496175001479693,0.011166634904069342
B1_Talent_Stock_log,1.5787558081766428,0.7507214363746332,2.329477244551276,0.8280343718020097,0.07440251673967198
B3_STEM_Supply_norm,1.0221379977247607,0.2233134552534631,1.2454514529782237,0.7988245424712975,0.03977919200344494
C1_Research_Qty_log,1.1729399238371863,1.8282738750655931,3.0012137989027794,-0.6553339512284069,0.09585749782896553
C2_High_Impact_Res_log,0.8223419283712156,1.6849710785027454,2.507313006873961,-0.8626291501315299,0.08008251568109741
D1_GitHub_Activity_log,0.7779971385147914,2.1851078441777427,2.963104982692534,-1.4071107056629515,0.09464031837694731
D3_OpenSource_Impact_log,0.46332103096234334,1.4244109721010738,1.8877320030634173,-0.9610899411387305,0.06029336079004948
E1_Vertical_VC_log,1.394106558712261,1.3989109847305747,2.7930175434428355,-0.004804426018313768,0.08920779759333204
E2_Capital_Flow_log,1.5748226347349241,0.9620803448852091,2.536902979620133,0.612742289849715,0.08102760688030232
E3_Ind_Adoption_norm,1.0053455025613198,2.724435162010532,3.7297806645718516,-1.719089659449212,0.11912761499611363
F1_Gov_RD_Exp_norm,1.8747562222921672,0.15270478198861887,2.027461004280786,1.7220514403035483,0.06475624591863786
F2_IP_Protection_log,0.636042291374227,0.8445416437515408,1.4805839351257677,-0.20849935237731387,0.047289223912940236
