Year,Country,Country_CN,YC_Research,YD_OpenSource,ZF_Governance
2026,USA,美国,2.8249939232145755,2.51615229505949,0.8623149540649404
2026,CHN,中国,1.7409202607293888,1.7747629314505553,1.0
2026,GBR,英国,0.8993761314706628,0.6310789766801107,0.5414830093703343
2026,DEU,德国,2.395091840403632,2.3514568103596005,0.662867563043629
2026,KOR,韩国,2.034270420107865,2.7210948382511204,0.8817922271059939
2026,JPN,日本,2.2369320856248582,2.2053680188660953,0.8319793675769919
2026,FRA,法国,1.9359997345766073,2.2265899650845027,0.5327314803001224
2026,CAN,加拿大,1.7805290930298197,2.2956261389557753,0.4289822954664347
2026,ARE,阿联酋,1.1846343036642264,1.685914365317682,0.0
2026,IND,印度,0.6883481723442785,0.5089709131959285,0.5753833744797233
2027,USA,美国,2.9196226278352913,2.589400692042758,0.8623149540649404
2027,CHN,中国,1.7685832421304808,1.8269141858477116,1.0
2027,GBR,英国,0.901421434076852,0.635120891015654,0.5414830093703343
2027,DEU,德国,2.408873166568853,2.3584871277432673,0.662867563043629
2027,KOR,韩国,2.0906392035370116,2.738911146300798,0.8817922271059939
2027,JPN,日本,2.255663568249715,2.2170798998982115,0.8319793675769919
2027,FRA,法国,1.9524002710098831,2.2350629871546124,0.5327314803001224
2027,CAN,加拿大,1.7956894348576278,2.3122178176379995,0.4289822954664347
2027,ARE,阿联酋,1.2086344592142961,1.6985762122647583,0.0
2027,IND,印度,0.7026615486618305,0.5183950686904429,0.5753833744797233
2028,USA,美国,3.0147373691799713,2.6618400236721245,0.8623149540649404
2028,CHN,中国,1.7972225914306739,1.8821643006132955,1.0
2028,GBR,英国,0.9034851201606802,0.6388185657184258,0.5414830093703343
2028,DEU,德国,2.421410541829787,2.364574542304369,0.662867563043629
2028,KOR,韩国,2.1461167660795035,2.7529987325855854,0.8817922271059939
2028,JPN,日本,2.273337104604818,2.226724322365469,0.8319793675769919
2028,FRA,法国,1.9679095947530652,2.2433206860141506,0.5327314803001224
2028,CAN,加拿大,1.8077125288376923,2.328229143118804,0.4289822954664347
2028,ARE,阿联酋,1.2343246593004953,1.7119622104212993,0.0
2028,IND,印度,0.7180206311950957,0.5289909078082115,0.5753833744797233
2029,USA,美国,3.1101080519387043,2.7332954217416696,0.8623149540649404
2029,CHN,中国,1.8268645363552167,1.9406094585325382,1.0
2029,GBR,英国,0.9055690989035934,0.6420764599114333,0.5414830093703343
2029,DEU,德国,2.432836496180672,2.3699616427338515,0.662867563043629
2029,KOR,韩国,2.200114056798467,2.763902805455793,0.8817922271059939
2029,JPN,日本,2.290006745955124,2.234322639862506,0.8319793675769919
2029,FRA,法国,1.9825514349485673,2.2512894539923383,0.5327314803001224
2029,CAN,加拿大,1.8173150895954837,2.3427798416254433,0.4289822954664347
2029,ARE,阿联酋,1.2617343201673827,1.7260867998408689,0.0
2029,IND,印度,0.7345398668615082,0.5399284289754197,0.5753833744797233
2030,USA,美国,3.205501500110505,2.8036153987444687,0.8623149540649404
2030,CHN,中国,1.8575332609210398,2.0023180464714465,1.0
2030,GBR,英国,0.9076755989026757,0.6448857133291396,0.5414830093703343
2030,DEU,德国,2.443273844691524,2.374904561570964,0.662867563043629
2030,KOR,韩国,2.2521096339230766,2.772616027883597,0.8817922271059939
2030,JPN,日本,2.3057340804520132,2.240393646972222,0.8319793675769919
2030,FRA,法国,1.996355046896142,2.258935679229852,0.5327314803001224
2030,CAN,加拿大,1.8250846493522608,2.355456371713368,0.4289822954664347
2030,ARE,阿联酋,1.2908714073433256,1.740964016285175,0.0
2030,IND,印度,0.7523512121005695,0.5506863368210693,0.5753833744797233
2031,USA,美国,3.2868093662186633,2.8709852361589747,0.8623149540649404
2031,CHN,中国,1.8865550910301205,2.066101354538042,1.0
2031,GBR,英国,0.9092832130076793,0.6469395974374867,0.5414830093703343
2031,DEU,德国,2.423211968675361,2.3787098467530394,0.662867563043629
2031,KOR,韩国,2.2804679857136936,2.7788557794475404,0.8817922271059939
2031,JPN,日本,2.303892357539644,2.24472821543517,0.8319793675769919
2031,FRA,法国,1.9952402149293786,2.265193333475978,0.5327314803001224
2031,CAN,加拿大,1.7972830467985754,2.365122848956574,0.4289822954664347
2031,ARE,阿联酋,1.3202567394456552,1.756010381334944,0.0
2031,IND,印度,0.7707609260744992,0.5609838176655905,0.5753833744797233
2032,USA,美国,3.376463908036442,2.925498181836255,0.8623149540649404
2032,CHN,中国,1.9184484512907278,2.1242468322827524,1.0
2032,GBR,英国,0.9112644804848721,0.6462673782562534,0.5414830093703343
2032,DEU,德国,2.425951434445808,2.3764941436627334,0.662867563043629
2032,KOR,韩国,2.3213898687422847,2.776678951770143,0.8817922271059939
2032,JPN,日本,2.3134972890537546,2.2433460927070326,0.8319793675769919
2032,FRA,法国,2.0037459488828047,2.2640234472983845,0.5327314803001224
2032,CAN,加拿大,1.80071571997423,2.3652979670942536,0.4289822954664347
2032,ARE,阿联酋,1.3520948744308852,1.7676389087913935,0.0
2032,IND,印度,0.791286245820236,0.569329459541036,0.5753833744797233
2033,USA,美国,3.474142325247375,2.978723138777623,0.8623149540649404
2033,CHN,中国,1.952974973037993,2.184582657936978,1.0
2033,GBR,英国,0.9135832340005365,0.6454939138151712,0.5414830093703343
2033,DEU,德国,2.4458112164756,2.3747734679090042,0.662867563043629
2033,KOR,韩国,2.3735945321489442,2.7749420787073413,0.8817922271059939
2033,JPN,日本,2.33251189363434,2.2422191422740263,0.8319793675769919
2033,FRA,法国,2.0201493065592517,2.262904502181048,0.5327314803001224
2033,CAN,加拿大,1.823586183131944,2.3646005866983004,0.4289822954664347
2033,ARE,阿联酋,1.3866029421776127,1.7797835844737968,0.0
2033,IND,印度,0.8141862398955855,0.5785743871105364,0.5753833744797233
2034,USA,美国,3.5794078875414725,3.0308837044857495,0.8623149540649404
2034,CHN,中国,1.989906492918935,2.2471525867143645,1.0
2034,GBR,英国,0.9162007551194894,0.6447664192522086,0.5414830093703343
2034,DEU,德国,2.4791691708554393,2.373674880940059,0.662867563043629
2034,KOR,韩国,2.4361169098748032,2.7739552735700754,0.8817922271059939
2034,JPN,日本,2.359369545470143,2.241577435485716,0.8319793675769919
2034,FRA,法国,2.0431599986993016,2.2620323599374887,0.5327314803001224
2034,CAN,加拿大,1.8606057708800605,2.3636567755333786,0.4289822954664347
2034,ARE,阿联酋,1.4239759795599831,1.7924515033691915,0.0
2034,IND,印度,0.8397391372238524,0.5893297228837759,0.5753833744797233
2035,USA,美国,3.6919829240052797,3.0821875609282254,0.8623149540649404
2035,CHN,中国,2.0290681121137415,2.311997053608899,1.0
2035,GBR,英国,0.9190863170300498,0.6441901715167989,0.5414830093703343
2035,DEU,德国,2.523887666093946,2.3732571636771933,0.662867563043629
2035,KOR,韩国,2.508479088670187,2.7738521392989166,0.8817922271059939
2035,JPN,日本,2.393036242923627,2.241522322836341,0.8319793675769919
2035,FRA,法国,2.071951790831589,2.2615556915520196,0.5327314803001224
2035,CAN,加拿大,1.909360575579866,2.362905325449925,0.4289822954664347
2035,ARE,阿联酋,1.4644169854458284,1.8056410043338431,0.0
2035,IND,印度,0.8682637438966305,0.6020889085764899,0.5753833744797233
