Year,Country,Country_CN,XA_Compute,XB_Talent,XE_Capital
2026,USA,美国,0.9667162194241385,0.6933027452006029,1.0
2026,CHN,中国,0.40002616832987714,0.44920577080890084,0.724332545323157
2026,GBR,英国,0.34730404205044363,0.04903116504465962,0.7075569337478368
2026,DEU,德国,0.6294378057817065,0.6643566237425065,0.48090205060212426
2026,KOR,韩国,0.2702648062414799,0.7935787052286299,0.5164956218900824
2026,JPN,日本,0.5636558329786997,0.6198685010985381,0.33821533049239916
2026,FRA,法国,0.35563668414155614,0.6127867055592428,0.6186504359013647
2026,CAN,加拿大,0.237985813154796,0.6441962771485557,0.4864375613455834
2026,ARE,阿联酋,0.07032640335085598,0.43584293689266773,0.27603932416436683
2026,IND,印度,0.19319547072124663,0.009824616858815804,0.40459675425190633
2027,USA,美国,1.011291233164775,0.7184973861972787,1.0654287609290212
2027,CHN,中国,0.40008859407468583,0.4656996544536486,0.8215952888289344
2027,GBR,英国,0.3484085556954615,0.04953840848935757,0.8254796820677497
2027,DEU,德国,0.637580040272615,0.6665228406739517,0.5286530476123646
2027,KOR,韩国,0.2973356237041765,0.7968795489313144,0.6090390705792476
2027,JPN,日本,0.5756133428179858,0.6220388674806225,0.4131682282187374
2027,FRA,法国,0.3642820788880047,0.614858440275307,0.6850384868999241
2027,CAN,加拿大,0.24469123748364452,0.6462783704232102,0.6019535058046532
2027,ARE,阿联酋,0.07899305640060456,0.4401581050874767,0.3143981722320162
2027,IND,印度,0.2063185188953378,0.011449840460795734,0.5919706202115966
2028,USA,美国,1.0569716265514937,0.743413739723185,1.1282709186181619
2028,CHN,中国,0.40027634018423425,0.48285700387727337,0.9289593062430931
2028,GBR,英国,0.349508723006522,0.05005449083616093,0.9368969321275953
2028,DEU,德国,0.6447487231781991,0.6686807471134073,0.5688548615898311
2028,KOR,韩国,0.3248436612233465,0.8001732528770822,0.6813596608222415
2028,JPN,日本,0.5868137643603515,0.6242017596433617,0.47487189713416317
2028,FRA,法国,0.3724126212761725,0.6169228554511327,0.7495674372183289
2028,CAN,加拿大,0.24974004987215714,0.6483526014741433,0.7177531497887373
2028,ARE,阿联酋,0.08857827296361756,0.44450216459665876,0.3580563107709583
2028,IND,印度,0.22015922634497967,0.013341199911709284,0.801095413033114
2029,USA,美国,1.1036671618395026,0.7679916578180751,1.1885403749172052
2029,CHN,中国,0.40059683066415597,0.5006974516304072,1.0467291623005541
2029,GBR,英国,0.350604511904439,0.050580205591993076,1.0376583500830427
2029,DEU,德国,0.6510404627413189,0.6708302762927982,0.6025346024921968
